run_id,timestamp,json_file,series_title,episode,images,videos,ref_image,ref_image2,flow_project_url,status
RUN_260425100005,2026-04-25 10:00:05,2026-04-25-09-56_example_minion_json_CCVERSION.json,Minion AI Missions,2,12,6,ref_[Pixar_3D_Animation_202604242347.jpeg,ref_[Pixar_3D_Animation_202604250949.jpeg,https://labs.google/fx/tools/flow/project/27a52d92-4ec1-4fc9-be81-5f1745acfa5e,IN_PROGRESS 1
RUN_260425100045,2026-04-25 10:00:45,2026-04-25-09-56_example_minion_json_CCVERSION.json,Minion AI Missions,2,12,6,ref_[Pixar_3D_Animation_202604242347.jpeg,ref_[Pixar_3D_Animation_202604250949.jpeg,https://labs.google/fx/tools/flow/project/1b70a0df-93b5-4b0e-903f-a687df5e1af4,IN_PROGRESS IMG
RUN_260425100841,2026-04-25 10:08:41,2026-04-25-10-08_example_minion_json_CCVERSION.json,Minion AI Missions,2,12,6,ref_[Pixar_3D_Animation_202604242347.jpeg,ref_[Pixar_3D_Animation_202604250949.jpeg,https://labs.google/fx/tools/flow/project/3515d6ee-3644-43e4-8523-a2fc7af2f270,IN_PROGRESS IMG
RUN_260425103452,2026-04-25 10:34:52,2026-04-25-10-34_test_minion_1scene.json,Minion AI Missions,2,2,1,ref_[Pixar_3D_Animation_202604242347.jpeg,ref_[Pixar_3D_Animation_202604250949.jpeg,https://labs.google/fx/tools/flow/project/234571be-fcfb-4231-acb0-5c6981839543,IN_PROGRESS IMG
